"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Date published","URLs","DOI","PMID","PMC ID","Abstract","Keywords"
"Journal Article","Siddiqi Z,Karoli R,Fatima J,Khanduri S,Varshneya S,Ahmad SS","Soft drinks consumption and the risk of nonalcoholic fatty liver disease","The Journal of the Association of Physicians of India","2017","65","5","28-32","","2017","https://www.ncbi.nlm.nih.gov/pubmed/28598045","","28598045","","INTRODUCTION: The increased consumption of sugar-sweetened beverages (SSBs) has been implicated in the increased incidence of obesity and metabolic syndrome Little of the research on sugar-sweetened beverage intake has examined the consumption patterns of sugared beverages by college students, despite the vulnerabilities of this population to weight gain. The current study sought to characterize sugar-sweetened beverage intake of undergraduate students who belong to high socio-economic strata and to study its correlation with presence of non-alcoholic fatty liver disease. MATERIAL AND METHODS: In a cross sectional, a self reported questionnaire based study about soft drink consumption (≥2/day, 1/day, <1/day). That included undergraduate medical students. Anthropometry and blood pressure were recorded and fasting glucose, insulin and lipid profile and abdominal ultrasonography for the presence of fatty liver was assessed. RESULTS: A total of 242 students were studied. The students in group 1 (≥2/day) had significantly higher BMI, waist circumference and diastolic blood pressure than students of other groups. They also had higher triglycerides, fasting insulin, HOMA-IR and significantly lower levels of HDL-cholesterol. Overall (40%) students had metabolic syndromes in group 1 compared to 8% and 3% in other groups while presence of NAFLD was observed in 75%, 16% and 4% in three groups respectively. Duration of soft drink consumption had positive correlation with presence of NAFLD. CONCLUSIONS: Substantial consumption of soft drinks is leading to increased obesity and cardio-metabolic risk factors in young adults. Artificially sweetened diet soft drinks have been posed as a healthier alternative due to their lack of calories but they do not guarantee protection against non-alcoholic fatty liver disease.",""
"Journal Article","Sousa A,Sych J,Rohrmann S,Faeh D","The importance of sweet beverage definitions when targeting health policies-the case of Switzerland","Nutrients","2020","12","7","E1976-E1976","MDPI AG","2020","http://dx.doi.org/10.3390/nu12071976;https://www.ncbi.nlm.nih.gov/pubmed/32635195;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399802","10.3390/nu12071976","32635195","PMC7399802","Since high-sweet beverage intake is associated with health risks, defining what this term encompasses is relevant to the strategies confronting this problem. This study assessed both the sociodemographic factors associated with sweet beverage consumption in Switzerland and the amount consumed. According to the current definition in Switzerland (SB-CUR), sweet beverages include soft drinks, juices with added-sugar, and low-calorie sweet beverages. Using this definition and the representative menuCH survey (n = 2057; ages 18-75), the average daily sweet beverage intake was determined and compared with a new sweet beverage definition (SB-NEW), which included all beverages with free sugars and low-calorie sweeteners. A generalized linear model was used to investigate correlates of sweet beverage consumption. Sweet beverage consumption under the SB-CUR and","100% juices; Switzerland; health policies sociodemographic characteristics; low-calorie sweet beverages; plant-based milk substitutes; soft drinks; sugar sweetened beverages; sweet beverages"
"Journal Article","Mullie P,Aerenhouts D,Clarys P","Demographic, socioeconomic and nutritional determinants of daily versus non-daily sugar-sweetened and artificially sweetened beverage consumption","European Journal of Clinical Nutrition","2012","66","2","150-155","Springer Science and Business Media LLC","2012","http://dx.doi.org/10.1038/ejcn.2011.138;https://www.ncbi.nlm.nih.gov/pubmed/21829215","10.1038/ejcn.2011.138","21829215","","OBJECTIVE: The aim of this study was to determine the impact of demographic, socioeconomic and nutritional determinants on daily versus non-daily sugar-sweetened and artificially sweetened beverage consumption. METHODS: Cross-sectional design in 1852 military men. Using mailed questionnaires, sugar-sweetened and artificially sweetened beverage consumption was recorded. Principal component analysis was used for dietary pattern analysis. RESULTS: Sugar-sweetened and artificially sweetened beverages were consumed daily by 36.3% and 33.2% of the participants, respectively. Age, body mass index (BMI), non-smoking and income were negatively related to sugar-sweetened beverage consumption. High BMI and trying to lose weight were related to artificially sweetened beverages consumption. Three major patterns were obtained from principal component analysis: first, the 'meat pattern', was loaded for red meats and processed meats; second, the 'healthy pattern', was loaded for tomatoes, fruit, whole grain, vegetables, fruit, fish, tea and nuts; finally, the 'sweet pattern' was loaded for sweets, desserts, snacks, high-energy drinks, high-fat dairy products and refined grains. The sugar-sweetened beverage consumption was strongly related with both the meat and sweet dietary patterns and inversely related to the healthy dietary pattern. The artificially sweetened beverage consumption was strongly related with the sweet and healthy dietary pattern. CONCLUSIONS: Daily consumption of sugar-sweetened beverages was inversely associated with a healthy dietary pattern. Daily consumption of artificially sweetened beverages was clearly associated with weight-loss intention.",""
"Journal Article","Miller C,Ettridge K,Pettigrew S,Wittert G,Wakefield M,Coveney J,Roder D,Martin J,Brownbill A,Dono J","Warning labels and interpretive nutrition labels: Impact on substitution between sugar and artificially sweetened beverages, juice and water in a real-world selection task","Appetite","2022","169","105818","105818-105818","Elsevier BV","2022","http://dx.doi.org/10.1016/j.appet.2021.105818;https://www.ncbi.nlm.nih.gov/pubmed/34838869","10.1016/j.appet.2021.105818","34838869","","Effective strategies to reduce free sugar intake are needed. This study examined exposure to a warning label, independently and in conjunction with a Health Star Rating (HSR) label, on the selection of commercially available cold beverages with real decision-making stakes. Participants (N = 511, 47.9% female, mean = 21.7 (SD = 6.1) years) accessed an online convenience store app via an on-campus laptop to select one of 10 beverages (5 sugar-sweetened beverages [SSBs], 1100% fruit juice, 2 artificially sweetened beverages [ASBs] and 2 waters). The task was repeated with the addition of a warning label on high-sugar drinks in Round 2, and the addition of an HSR label on all drinks in Round 3. Participants were informed that they would receive a complementary drink (valued at <$5AUD) based on their selections following the completion of a brief questionnaire. Baseline results indicated that SSBs and waters were the most and least popular choices, respectively. For both males and females, there was a significant decrease in SSB selection (p < 0.001) and significant increase in ASB and water selection (p < 0.001) following the addition of warning labels to high-sugar drinks. The decreased selection of SSBs and increased selection of waters was maintained in Round 3 when HSR labels were added to all drinks. 100% fruit juice selection decreased with the addition of a warning label for females only (p < 0.01), but increased following the addition of a 4-star HSR label, for both males (p < 0.05) and females (p < 0.001). Warning labels reduced young adults' selection of SSBs and promoted substitution to water. The HSR reinforced this effect for the least healthy drinks. Increased water selection may be further enhanced by ensuring that warning label thresholds and HSR algorithms align to present consistent messaging.","Artificially sweetened beverage; Experiment; Interpretive labels; Sugar-sweetened beverage; Warning labels; Water"
"Journal Article","von Philipsborn P,Stratil JM,Burns J,Busert LK,Pfadenhauer LM,Polus S,Holzapfel C,Hauner H,Rehfuess E","Environmental interventions to reduce the consumption of sugar-sweetened beverages and their effects on health","Cochrane Database of Systematic Reviews","2019","2019","6","","","2019","http://dx.doi.org/10.1002/14651858.CD012292.pub2;https://www.scopus.com/pages/publications/85067628362?origin=resultslist","10.1002/14651858.CD012292.pub2","","","",""
"Journal Article","Mesirow MS,Welsh JA","Changing Beverage Consumption Patterns Have Resulted in Fewer Liquid Calories in the Diets of US Children: National Health and Nutrition Examination Survey 2001-2010","Journal of the Academy of Nutrition and Dietetics","2015","115","4","559-566.e4","","2015","http://dx.doi.org/10.1016/j.jand.2014.09.004;https://www.scopus.com/pages/publications/84925791587?origin=resultslist","10.1016/j.jand.2014.09.004","","","",""
"Journal Article","Figueiredo N,Maia EG,Da Silva LE,Granado FS,Claro RM","Trends in sweetened beverages consumption among adults in the Brazilian capitals, 2007-2016","Public Health Nutrition","2018","21","18","3307-3317","","2018","http://dx.doi.org/10.1017/S1368980018002161;https://www.scopus.com/pages/publications/85053185234?origin=resultslist","10.1017/S1368980018002161","","","",""
"Journal Article","Miller C,Ettridge K,Wakefield M,Pettigrew S,Coveney J,Roder D,Durkin S,Wittert G,Martin J,Dono J","Consumption of sugar-sweetened beverages, juice, artificially-sweetened soda and bottled water: An Australian population study","Nutrients","2020","12","3","","","2020","http://dx.doi.org/10.3390/nu12030817;https://www.scopus.com/pages/publications/85082250633?origin=resultslist","10.3390/nu12030817","","","",""
"Journal Article","Sørensen LB,Vasilaras TH,Astrup A,Raben A","Sucrose compared with artificial sweeteners: A clinical intervention study of effects on energy intake, appetite, and energy expenditure after 10 wk of supplementation in overweight subjects","American Journal of Clinical Nutrition","2014","100","1","36-45","","2014","http://dx.doi.org/10.3945/ajcn.113.081554;https://www.scopus.com/pages/publications/84903551495?origin=resultslist","10.3945/ajcn.113.081554","","","",""
"Journal Article","Ebbeling CB,Feldman HA,Steltz SK,Quinn NL,Robinson LM,Ludwig DS","Effects of sugar-sweetened, artificially sweetened, and unsweetened beverages on cardiometabolic risk factors, body composition, and sweet taste preference: a randomized controlled trial","Journal of the American Heart Association","2020","9","15","","","2020","http://dx.doi.org/10.1161/JAHA.119.015668;https://www.scopus.com/pages/publications/85089163628?origin=resultslist","10.1161/JAHA.119.015668","","","",""
